Study#,EvaluationMetrics
S1,auc/roc/auc-roc; cohen's kappa; f1 score; precision; recall;
S2,accuracy; chi-squared test; likert scale; pseudo-r-squared; t-test;
S3,logistic regression(beta value - ?; odds ratio; omnibus tests of model coefficients; p-value; significance - ?; standard error - s.e; wald statistics - wald;
S4,auc/roc/auc-roc; f1 score; infogain; precision; recall;
S5,beta value  b; cohen's kappa; cox and snell r square; hosmer-lemeshow test; log likelihood; nagelkerke r square; odds ratio; significance  p;
S6,infogain; ndcg;
S7,accuracy; auc/roc/auc-roc; f1 score; pearson correlation;
S8,binning (time categorization); precision; recall;
S9,accuracy;
S10,anova; beta coefficients; krippendorff's alpha; kurtosis; mean; r-square; skewness; standard deviation;
S11,cohen's kappa; mean; standard deviation; standard error mean; t-test;
S12,accuracy; chi-squared statistic; cohen's kappa;
S13,answer score;
S14,auc/roc/auc-roc; fitness function; precision;
S15,accuracy; auc/roc/auc-roc; f1 score;
S16,accuracy; auc/roc/auc-roc;
S17,accuracy; precision; recall;
S18,answer score;
S19,auc/roc/auc-roc; coefficient estimate; f1 score; odds ratio; precision; recall;
S20,precision; recall;
S21,accuracy; pearson correlation;
S22,likert scale; mean; standard deviation;
S23,f-statistic; mae; mse; r-square;
S24,accuracy; cohen's kappa; cox and snell incremental r^2; cox and snell r^2; gelkerke r^2; hosmer-lemeshow test; mean; na; nagelkerke incremental r^2; odds ratio; omnibus test ?2; standard deviation;
S25,recall;
S26,pearson correlation; precision;
S27,accuracy; auc/roc/auc-roc; infogain; krippendorff's alpha; precision; recall;
S28,recall;
S29,"top@k (k=1,3,5,10,15);"
S30,compilability; precision;
S31,accuracy; f1 score;
S32,completeness; conciseness; correctness; understandability;
S33,recall;
S34,r-square; spearman's rank correlation;
S35,precision;
S36,f1 score; precision; recall; scott-knott (feature ranking);
S37,accuracy; f1 score; mann-whitney u-test results; precision; recall;
S38,f1 score; precision; recall;
S39,gleu;
S40,auc/roc/auc-roc; f1 score; recall;
S41,accuracy; auc/roc/auc-roc; f1 score; precision; recall;
S42,cosine similarity; f1 score; precision; recall;
S43,rank feature (z-score);
S44,f1 score; precision; recall;
S45,accuracy; auc/roc/auc-roc; f1 score;
S46,agreement level;
S47,accuracy; auc/roc/auc-roc; f1 score; precision; recall;
S48,f1 score; precision; recall;
S49,accuracy; auc/roc/auc-roc; f1 score; precision; recall;
S50,chi-squared test; cramer's v;
S51,diversity score; likert scale; manual validation; relevance score; usefulness score;
S52,f1 score; precision; recall;
S53,auc/roc/auc-roc; f1 score; recall;
S54,accuracy; precision; recall;
S55,constant; log likelihood; r-square;
S56,accuracy; f1 score; precision; recall;
S57,precision; recall;
S58,mean reciprocal rank; precision;
S59,recall;
S60,auc/roc/auc-roc; coefficient estimate; odds ratio; p-value;
S61,auc/roc/auc-roc; f1 score; matching_top10; precision; recall; rmse;
S62,f1 score; manual evaluation; precision; recall;
S63,diversity score; likert scale; manual validation; relevance score; usefulness score;
S64,auc/roc/auc-roc; matthews correlation coefficient; neural network coefficient; random forest coefficient;
S65,
S66,mean reciprocal rank; ndcg; recall;
S67,precision; recall;
S68,accuracy; precision; recall;
S69,recall;
S70,auc/roc/auc-roc; rmse;
S71,statistical analysis;
S72,correlation;
S73,accuracy; auc/roc/auc-roc; f1 score;
S74,qualitative analysis;
S75,bleu; human evaluation; rouge;
S76,f1 score; precision; recall;
S77,accuracy; f1 score; precision; recall;
S78,recall;
S79,accuracy; completeness; comprehensibility; conciseness; correctness; f1 score; precision; recall;
S80,f1 score; micro-receiver operating characteristic (roc) curve; precision; recall;
S81,f1 score; precision; recall;
S82,accuracy; f1 score; precision; recall;
S83,cohen's classification (rho);
S84,
S85,accuracy; auc/roc/auc-roc; cosine similarity; precision; recall;
S86,accuracy; f1 score; precision; recall;
S87,"bertscore; bleu; fisher's z-transformation; meteor; rouge; statistical analysis (mean, standard deviation);"
S88,discounted cumulative gain -dcg@k (k=2-5); matching score; precision; user study;
S89,
S90,accuracy; f1 score; precision; recall;
S91,accuracy; f1 score; precision; recall;
S92,auc/roc/auc-roc;
S93,mean reciprocal rank; precision;
S94,"f1 score; normalized cumulative gain discount (ndcc@k, k=1-10); precision; recall;"
S95,qualitative analysis;
S96,f1 score; precision; recall;
S97,
S98,accuracy; f1 score; precision; recall;
S99,f1 score; kaplan-meier estimator; precision; recall;
S100,bleu; rouge;
S101,auc/roc/auc-roc; f1 score; precision; recall;
S102,bleu; human evaluation; meteor; rouge;
S103,auc/roc/auc-roc; f1 score; precision; recall;
S104,bleu; rouge;
S105,
S106,chi-squared test; cliff's delta; mann-whitney-wilcoxon test;
S107,auc/roc/auc-roc;
S108,accuracy; f1 score; multi-class log loss (mll); precision; recall;
S109,accuracy; f1 score; mean average precision (map); mean reciprocal rank; precision; recall;
S110,accuracy; f1 score; mann-whitney u-test results; precision; recall;
S111,bleu; rouge;
S112,f1 score; precision; recall;
S113,f1 score; ndcg; precision; psp (propensity scored precision); recall;
S114,cross-entropy loss; f1 score; precision; recall;
S115,accuracy; f1 score; precision; recall;
S116,accuracy; auc/roc/auc-roc; f1 score; precision; recall;
S117,accuracy; f1 score; nasa tlx for workload; precision; recall;
S118,bleu; consensus-based image description evaluation (cider); exact match (em); gleu; mean reciprocal rank; rouge;
S119,fleiss's kappa (agreement); relative differences (rd); t-test;
S120,f1 score; precision; recall;
S121,accuracy; chi-squared test; cliff's delta; cohen's kappa; f1 score; mann-whitney-wilcoxon test; precision; recall;
S122,cohen's kappa;
S123,accuracy; f1 score; precision; recall;
S124,f1 score; precision; recall;
S125,exact match (em); f1 score; precision; recall;
S126,cliff's delta; mann-whitney-wilcoxon test;
S127,macro-f1; macro-precision; macro-recall;
